Sigtaara,IPA,Romanized,Part of speech,English,Alternate Meaning 1,Alternate Meaning 2,Alternate Meaning 3,Alternate Meaning 4
BAKMUZÂS,/bɑkmuzɑhs/,bakmuzaas,n.,second (time), moment,,,
MIJɔN,/midʒɔn/,mijoon,n.,secret,,,,
YOLOG,/jolog/,yolog,n.,section, segment,,,
MEKYUS,/mɛkjus/,mekyus,n.,section,,,,
POT,/pot/,pot,n.,section, piece,,,
GOT,/got/,got,v.,secure,,,,
BUKJELɔT,/bukdʒɛlɔt/,bukjeloot,n.,security,,,,
JÚ,/dʒur/,jur,v.,see, understand, look, watch, grasp
FÍTÍH,/firtirh/,firtirh,v.,see, understand, look, discover, grasp
PI,/pi/,pi,v.,see, understand, perceive, identify, imagine
KORAV,/korɑv/,korav,v.,see, recognize, perceive,,
MÄMEKɔH,/mæməkɔh/,ma'mekooh,n.,seed, grain,,,
GÍDA,/girdɑ/,girda,n.,seed, grain, egg,,
WÚL,/wurl/,wurl,v.,seem, appear, imply,,
WOSJÚKYH,/wosdʒurkjh/,wosjurkyh,v.,seem, appear,,,
FIHBÂN,/fihbɑhn/,fihbaan,v.,segregate, discriminate,,,
JEMU,/dʒɛmu/,jemu,n.,seizure,,,,
DIWOLOZ,/diwoloz/,diwoloz,adj.,selfish,,,,
SUG,/sug/,sug,v.,sell,,,,
BÂZ,/bɑhz/,baaz,n.,semen,,,,
BUSLEHÚG,/buslɛhurg/,buslehurg,v.,send,,,,
PEHÍH,/pɛhirh/,pehirh,v.,send, transfer,,,
TÄVOLIT,/tævolit/,ta'volit,n.,sense,,,,
YÍSÚN,/jirsurn/,yirsurn,adj.,sensible,,,,
WEGɔLMAG,/wəgɔlmɑg/,wegoolmag,n.,sentence,,,,
MITHÍSIZ,/mithirsiz/,mithirsiz,v.,separate, isolate, segregate,,
DIJON,/didʒon/,dijon,n.,sequence, order,,,
YEKME,/jɛkmɛ/,yekme,n.,sequence, order, hierarchy,,
HEFIL,/həfil/,hefil,adj.,serial,,,,
JILESIN,/dʒilɛsin/,jilesin,n.,series,,,,
MENKIZ,/mənkiz/,menkiz,adj.,serious,,,,
AMTUZ,/ɑmtuz/,amtuz,n.,servant,,,,
MIPÉZÚN,/mipeɪ̯zurn/,mipaezurn,v.,serve,,,,
GɔRÍ,/gɔrir/,goorir,v.,serve, deliver, deposit,,
AMIK,/ɑmik/,amik,n.,service,,,,
KÄS,/kæs/,ka's,v.,set,,,,
YÍS,/jirs/,yirs,v.,settle,,,,
JÍMEHɔK,/dʒirmɛhɔk/,jirmehook,n.,settlement (village),,,,
SÚ,/sur/,sur,num.,seven,,,,
REMOL,/rɛmol/,remol,det.,several,,,,
NULIQU,/nulikwu/,nuliqu,adj.,severe,,,,
LÚLÂK,/lurlɑhk/,lurlaak,v.,sew,,,,
WÍZIH,/wirzih/,wirzih,n.,sewage,,,,
HÚNDON,/hurndon/,hurndon,n.,sewer,,,,
RUKIH,/rukih/,rukih,n.,sewer, drain,,,
PES,/pəs/,pes,n.,sex,,,,
GOMEK,/gomɛk/,gomek,adj.,sexual,,,,
KOHO,/koho/,koho,n.,shack,,,,
NOMÂL,/nomɑhl/,nomaal,n.,shade,,,,
NOMÂL,/nomɑhl/,nomaal,n.,shadow,,,,
LOZNÉ,/lozneɪ̯/,loznae,v.,shake, shock,,,
WɔDE,/wɔdə/,woode,v.,shake, shudder, shiver, shock,
RE,/rɛ/,re,v.,shake, tremble, rattle, shiver,
PAKÍ,/pɑkir/,pakir,n.,shame,,,,
PAK,/pɑk/,pak,v.,shame,,,,
KÄPAK,/kæpɑk/,ka'pak,adj.,shamed, ashamed,,,
ZUGÄ,/zugæ/,zuga',n.,shape,,,,
GANIK,/gɑnik/,ganik,v.,share,,,,
WɔS,/wɔs/,woos,n.,shark,,,,
KÄKINZON,/kækinzon/,ka'kinzon,adj.,sharp,,,,
KINZON,/kinzon/,kinzon,v.,sharpen,,,,
KINZONZIL,/kinzonzil/,kinzonzil,adv.,sharply,,,,
KINZONÍ,/kinzonir/,kinzonir,n.,sharpness,,,,
WÍMEN,/wirmɛn/,wirmen,v.,shave, trim, graze (touch),,
MIZAN,/mizɑn/,mizan,v.,shave,,,,
NEYÄ,/nɛjæ/,neya',v.,shave, graze (touch),,,
EK,/ɛk/,ek,pron.,she,,,,
REK,/rɛk/,rek,pron.,she, her, hers, it (fem), its (fem)
VɔZ,/vɔz/,vooz,n.,shed,,,,
FOKIZ,/fokiz/,fokiz,n.,sheep,,,,
MELETIG,/məlɛtig/,meletig,n.,sheet, membrane,,,
HISɔTÚS,/hisɔturs/,hisooturs,n.,sheet,,,,
MUSAL,/musɑl/,musal,n.,shelf, rack, counter (flat, elevated surface),
FÂSBÂ,/fɑhsbɑh/,faasbaa,n.,shelf, rack,,,
NES,/nəs/,nes,n.,shell,,,,
FAKLO,/fɑklo/,faklo,n.,shelter,,,,
SIMEHOS,/simɛhos/,simehos,n.,shield,,,,
PÂMÂNIS,/pɑhmɑhnis/,paamaanis,n.,shield, apron,,,
YÚYÂ,/jurjɑh/,yuryaa,v.,shift,,,,
NISUSÂG,/nisusɑhg/,nisusaag,v.,shine, radiate,,,
ZENDI,/zɛndi/,zendi,v.,shine, glare, radiate,,
WAMUH,/wɑmuh/,wamuh,adj.,shiny,,,,
BUTÁ,/butaɪ̯/,butaii̯,n.,ship,,,,
NɔTFA,/nɔtfɑ/,nootfa,n.,shirt, blouse, top (clothing),,
YASɔH,/jɑsɔh/,yasooh,n.,shirt,,,,
SAMOL,/sɑmol/,samol,n.,shit,,,,
VEL,/vɛl/,vel,v.,shock, startle, stun, surprise, paralyze
NILɔ,/nilɔ/,niloo,v.,shock, startle,,,
NEN,/nən/,nen,v.,shock, startle, stun, paralyze,
LIK,/lik/,lik,n.,shoe, boot,,,
JODUKYK,/dʒodukjk/,jodukyk,n.,shoe,,,,
MÂKMASÚL,/mɑhkmɑsurl/,maakmasurl,v.,shoot, fire (detonate weapon),,,
FÚBEZɔK,/furbəzɔk/,furbezook,n.,shooting star,,,,
TOLWOKOK,/tolwokok/,tolwokok,n.,shore,,,,
BÂMENÚG,/bɑhmɛnurg/,baamenurg,n.,shore, coast,,,
SÄKVÍLÚT,/sækvirlurt/,sa'kvirlurt,adj.,short, low,,,
SɔYU,/sɔju/,sooyu,adj.,short, low, brief,,
BÚS,/burs/,burs,v.,should,,,,
VUK,/vuk/,vuk,n.,shoulder,,,,
SUNHEHIT,/sunhəhit/,sunhehit,v.,shout, yell, exclaim, proclaim,
PEH,/pəh/,peh,v.,shout, yell, scream, exclaim, proclaim
NÂNUTYL,/nɑhnutjl/,naanutyl,v.,shove,,,,
TOH,/toh/,toh,n.,shovel,,,,
RAGÍT,/rɑgirt/,ragirt,v.,show, demonstrate,,,
RɔNÍ,/rɔnir/,roonir,v.,show, demonstrate, present, express,
WIZE,/wizɛ/,wize,n.,show (performance),,,,
LEG,/lɛg/,leg,v.,show off,,,,
JOPIS,/dʒopis/,jopis,n.,shower,,,,
BEWÄSIZ,/bəwæsiz/,bewa'siz,n.,shrimp,,,,
MUKɔS,/mukɔs/,mukoos,n.,shrub, bush,,,
KÂK,/kɑhk/,kaak,v.,shrug,,,,
FÄHYIT,/fæhjit/,fa'hyit,v.,shudder, shiver,,,
PÚT,/purt/,purt,v.,shuffle,,,,
TEDÚ,/tɛdur/,tedur,adj.,shy, reluctant,,,
TÄHYT,/tæhjt/,ta'hyt,n.,sibling,,,,
MEKMÁ,/məkmaɪ̯/,mekmaii̯,adj.,sick, ill, unwell,,
KÄKRÄS,/kækræs/,ka'kra's,adj.,sick, sickly,,,
KRÄS,/kræs/,kra's,v.,sicken, make sick,,,
KRÄSÍ,/kræsir/,kra'sir,n.,sickness,,,,
PÂNUZɔT,/pɑhnuzɔt/,paanuzoot,n.,side, border, boundary, perimeter,
JÄPEZ,/dʒæpɛz/,ja'pez,n.,side,,,,
SÄZASYK,/sæzɑsjk/,sa'zasyk,n.,siege,,,,
PÂL,/pɑhl/,paal,v.,sigh,,,,
KORAVÍ,/korɑvir/,koravir,n.,sight, recognition, perception, awareness,
ZINLOS,/zinlos/,zinlos,n.,sign, signal,,,
FÍTON,/firton/,firton,n.,sign, signal, symptom,,
PÍKGO,/pirkgo/,pirkgo,adj.,significant,,,,
NALOTÍ,/nɑlotir/,nalotir,n.,silence,,,,
NALOT,/nɑlot/,nalot,v.,silence,,,,
KÄNALOT,/kænɑlot/,ka'nalot,adj.,silent,,,,
NALOTZIL,/nɑlotzil/,nalotzil,adv.,silently,,,,
NEWOTOK,/nɛwotok/,newotok,n.,silk, thread,,,
MÂSYÍZɔK,/mɑhsjirzɔk/,maasyirzook,n.,silk,,,,
BɔNZENÂZ,/bɔnzɛnɑhz/,boonzenaaz,adj.,silly,,,,
JON,/dʒon/,jon,n.,silver, money,,,
MUKPÍ,/mukpir/,mukpir,n.,silver,,,,
DɔLNÂ,/dɔlnɑh/,doolnaa,adj.,similar,,,,
WÄ,/wæ/,wa',adj.,simple,,,,
WO,/wo/,wo,adv.,simply,,,,
HUGIL,/hugil/,hugil,n.,sin, crime,,,
SɔZYH,/sɔzjh/,soozyh,n.,sin,,,,
HIS,/his/,his,conj.,since,,,,
BÍGJOS,/birgdʒos/,birgjos,adj.,sincere, earnest,,,
LOVAS,/lovɑs/,lovas,v.,sing, make music,,,
HE,/hɛ/,he,v.,sing,,,,
JIHTEK,/dʒihtək/,jihtek,n.,singer,,,,
JɔKÚK,/dʒɔkurk/,jookurk,adj.,single,,,,
TÁWɔ,/taɪ̯wɔ/,taii̯woo,v.,sink, descend,,,
GÍVA,/girvɑ/,girva,v.,sip,,,,
BUSJI,/busdʒi/,busji,n.,siren,,,,
BRINE,/brinə/,brine,n.,sister,,,,
PRAL,/prɑl/,pral,v.,sit, lie (down),,,
ME,/mə/,me,v.,sit,,,,
GÚWÉ,/gurweɪ̯/,gurwae,n.,site, location,,,
RÄGLI,/rægli/,ra'gli,v.,situate,,,,
GET,/gɛt/,get,n.,situation (circumstances, context),,,
SÄ,/sæ/,sa',num.,six,,,,
HÄDÄZOH,/hædæzoh/,ha'da'zoh,n.,size, amount, quantity, capacity,
DÚN,/durn/,durn,n.,size, capacity,,,
DÄG,/dæg/,da'g,v.,skate,,,,
HÍPELIG,/hirpɛlig/,hirpelig,n.,skeleton, hull,,,
NɔS,/nɔs/,noos,n.,skeleton, hull, carcass,,
KUBOTYS,/kubotjs/,kubotys,n.,skeptic,,,,
REWESIK,/rəwəsik/,rewesik,n.,skeptic, cynic,,,
YOZIS,/jozis/,yozis,n.,sketch,,,,
WIVON,/wivon/,wivon,v.,skid,,,,
SIS,/sis/,sis,n.,skill,,,,
BÂLOGÂT,/bɑhlogɑht/,baalogaat,adj.,skilled,,,,
GÁN,/gaɪ̯n/,gaii̯n,v.,skim,,,,
LÂYE,/lɑhjə/,laaye,n.,skin, crust,,,
GUNIGɔH,/gunigɔh/,gunigooh,n.,skin,,,,
GɔK,/gɔk/,gook,adj.,skinny,,,,
NɔZA,/nɔzɑ/,nooza,v.,skip,,,,
DÍS,/dirs/,dirs,v.,skip, skim,,,
YEKEZ,/jəkəz/,yekez,n.,skirt,,,,
TAL,/tɑl/,tal,n.,skull,,,,
LOK,/lok/,lok,n.,sky,,,,
KÍKFI,/kirkfi/,kirkfi,n.,slab,,,,
VÍN,/virn/,virn,v.,slap, clap,,,
WEKFɔ,/wɛkfɔ/,wekfoo,v.,slash,,,,
KRINÍ,/krinir/,krinir,n.,slaughter,,,,
ARTUZ,/ɑrtuz/,artuz,n.,slave,,,,
KRIN,/krin/,krin,v.,slay,,,,
KRINTUZ,/krintuz/,krintuz,n.,slayer,,,,
LOS,/los/,los,v.,sleep,,,,
GESMÚZIS,/gəsmurzis/,gesmurzis,n.,sleep,,,,
YɔYO,/jɔjo/,yooyo,n.,slice,,,,
FETO,/fəto/,feto,v.,slide,,,,
BÂNUHIN,/bɑhnuhin/,baanuhin,v.,slide, drift,,,
BÍTɔGYK,/birtɔgjk/,birtoogyk,n.,sling,,,,
MɔDɔTOS,/mɔdɔtos/,moodootos,v.,slip,,,,
RAT,/rɑt/,rat,n.,slogan,,,,
BɔVENOS,/bɔvənos/,boovenos,n.,slope, slant, ramp,,
BUGFINYS,/bugfinjs/,bugfinys,n.,slope, slant,,,
LENÚS,/lɛnurs/,lenurs,adj.,slow,,,,
KÄSEN,/kæsən/,ka'sen,adj.,small,,,,
TENÍ,/tənir/,tenir,adj.,small, little,,,
MUGYUL,/mugjul/,mugyul,adj.,small, short, low,,
NUWE,/nuwɛ/,nuwe,adj.,smart, intelligent, clever,,
HAG,/hɑg/,hag,v.,smash, shatter,,,
BÄN,/bæn/,ba'n,v.,smell (emit odor), stink,,,
VɔK,/vɔk/,vook,v.,smell (sense with nose),,,,
GÂKDɔK,/gɑhkdɔk/,gaakdook,v.,smile,,,,
MES,/mɛs/,mes,v.,smirk,,,,
HEZWUSÚK,/həzwusurk/,hezwusurk,n.,smoke,,,,
SEGYL,/səgjl/,segyl,n.,smoke, steam, fog, mist,
MÚHɔ,/murhɔ/,murhoo,n.,smoke, fog,,,
HUHLÍ,/huhlir/,huhlir,adj.,smooth, sleek,,,
TÍL,/tirl/,tirl,v.,smuggle,,,,
GOBIGÂK,/gobigɑhk/,gobigaak,n.,snack,,,,
PÂNIKɔH,/pɑhnikɔh/,paanikooh,n.,snake,,,,
YÚKAGYK,/jurkɑgjk/,yurkagyk,v.,snap,,,,
NINGI,/ningi/,ningi,v.,snatch,,,,
BIL,/bil/,bil,v.,snatch, yank,,,
ZEG,/zɛg/,zeg,v.,sneak,,,,
RɔTMÍ,/rɔtmir/,rootmir,v.,sneeze,,,,
BÍGVE,/birgvə/,birgve,v.,sniff,,,,
JÄ,/dʒæ/,ja',v.,sniff, inhale,,,
OD,/od/,od,n.,snow,,,,
GAL,/gɑl/,gal,v.,snow,,,,
KET,/kət/,ket,adv.,so, therefore, thus,,
FUL,/ful/,ful,adv.,so, thus, in this way,,
FUL,/ful/,ful,conj.,so, so that, in order that,,
SÂLÂTMÚ,/sɑhlɑhtmur/,saalaatmur,adv.,so,,,,
SAVEH,/sɑvɛh/,saveh,v.,soak, drench, saturate, irrigate,
DAWI,/dɑwi/,dawi,v.,soak, irrigate,,,
BIK,/bik/,bik,n.,soap,,,,
LOH,/loh/,loh,v.,sob, weep,,,
LÂZ,/lɑhz/,laaz,v.,sob,,,,
WEHME,/wəhmə/,wehme,adj.,social,,,,
GEKOG,/gɛkog/,gekog,n.,society,,,,
KÍTNESYG,/kirtnɛsjg/,kirtnesyg,n.,sock,,,,
ZÂTFÂTÚT,/zɑhtfɑhturt/,zaatfaaturt,adj.,soft, gentle,,,
KÄJEN,/kædʒɛn/,ka'jen,adj.,soft,,,,
PÄTÂK,/pætɑhk/,pa'taak,n.,soil,,,,
YIZÚTɔL,/jizurtɔl/,yizurtool,n.,soil, clay,,,
DENEK,/dɛnɛk/,denek,n.,soil, earth,,,
LÍDEH,/lirdɛh/,lirdeh,n.,soldier,,,,
MEGUGIL,/mɛgugil/,megugil,adj.,sole, lone,,,
MÍKɔZɔN,/mirkɔzɔn/,mirkoozoon,adj.,solid, sturdy,,,
KÄDEK,/kædək/,ka'dek,adj.,solid, sturdy, compact,,
GÄZYA,/gæzjɑ/,ga'zya,adj.,solid, compact,,,
NÍT,/nirt/,nirt,v.,solve, figure out, deduce, deem,
OSOS,/osos/,osos,adj.,some,,,,
MÄTVENIS,/mætvɛnis/,ma'tvenis,pron.,someone, somebody,,,
NET,/nət/,net,pron.,something,,,,
KAKOKɔK,/kɑkokɔk/,kakokook,adv.,sometimes,,,,
SÂLUNɔN,/sɑhlunɔn/,saalunoon,adv.,somewhat, fairly, pretty, quite, rather
KÚ,/kur/,kur,n.,son, child, descendant,,
DEKIK,/dɛkik/,dekik,n.,son,,,,
SEH,/səh/,seh,n.,song, music,,,
HOG,/hog/,hog,n.,song,,,,
PINKÍL,/pinkirl/,pinkirl,adv.,soon, now,,,
DɔRUNIN,/dɔrunin/,doorunin,adv.,soon,,,,
KÄSES,/kæsɛs/,ka'ses,adj.,sophisticated,,,,
FɔMETOK,/fɔmɛtok/,foometok,adj.,sophisticated, intricate,,,
KRO,/kro/,kro,n.,sorcerer,,,,
HAGYH,/hɑgjh/,hagyh,adj.,sore,,,,
KROSÎSIL,/krosɪsil/,krosiisil,n.,sorrow,,,,
KROSÎS,/krosɪs/,krosiis,v.,sorrow,,,,
KROSÎZIL,/krosɪzil/,krosiizil,adv.,sorrowfully, unfortunately,,,
SɔFÍSYK,/sɔfirsjk/,soofirsyk,adj.,sorry,,,,
WɔMÚZ,/wɔmurz/,woomurz,v.,sort,,,,
FÄNPA,/fænpɑ/,fa'npa,n.,sound,,,,
JAPEZIK,/dʒɑpɛzik/,japezik,n.,soup,,,,
KUNɔSɔK,/kunɔsɔk/,kunoosook,n.,soup, broth,,,
WɔKTOH,/wɔktoh/,wooktoh,adj.,sour,,,,
KÄKMULɔH,/kækmulɔh/,ka'kmulooh,n.,source, well,,,
KÄFUNYG,/kæfunjg/,ka'funyg,n.,source, resource,,,
JÂN,/dʒɑhn/,jaan,n.,south,,,,
VIGA,/vigɑ/,viga,n.,souvenir,,,,
YEWOHIK,/jəwohik/,yewohik,n.,spa (mineral spring),,,,
TIYIZON,/tijizon/,tiyizon,n.,space (beyond Earth),,,,
VIKRÂNOK,/vikrɑhnok/,vikraanok,n.,space (empty area), room (space),,,
MÄRITɔN,/mæritɔn/,ma'ritoon,n.,span,,,,
KEZ,/kəz/,kez,v.,spank, smack,,,
BUHSIL,/buhsil/,buhsil,v.,spank, smack, slap, snap,
BÂTMI,/bɑhtmi/,baatmi,adj.,spare,,,,
NUWEL,/nuwəl/,nuwel,n.,spark,,,,
VIMÍHON,/vimirhon/,vimirhon,n.,spasm,,,,
TÚZ,/turz/,turz,v.,speak,,,,
PÄGNO,/pægno/,pa'gno,n.,spear, lance, pike,,
DEMɔ,/dəmɔ/,demoo,adj.,special,,,,
LɔPETÂK,/lɔpətɑhk/,loopetaak,n.,species, kind, type,,
MEMÍGIK,/məmirgik/,memirgik,n.,species,,,,
METIG,/mətig/,metig,adj.,specific, definite, particular,,
KÄHKEHÂK,/kæhkəhɑhk/,ka'hkehaak,n.,specimen,,,,
MÄYU,/mæju/,ma'yu,v.,spectate,,,,
BRENDON,/brɛndon/,brendon,n.,specter,,,,
MIYU,/miju/,miyu,n.,spectrum,,,,
RAK,/rɑk/,rak,v.,speculate, wonder,,,
WɔHKÂHIK,/wɔhkɑhhik/,woohkaahik,v.,speculate,,,,
GɔTÄKYT,/gɔtækjt/,goota'kyt,n.,speed, velocity,,,
KÍZ,/kirz/,kirz,v.,spell,,,,
DALYI,/dɑlji/,dalyi,n.,spell (of magic),,,,
GUHDEGɔK,/guhdɛgɔk/,guhdegook,n.,spelling,,,,
SOGEHON,/sogəhon/,sogehon,n.,sphere,,,,
NÍMÄNOL,/nirmænol/,nirma'nol,n.,spice,,,,
MOZÍ,/mozir/,mozir,n.,spider,,,,
YAPOK,/jɑpok/,yapok,n.,spike,,,,
NɔTPI,/nɔtpi/,nootpi,v.,spill,,,,
DET,/dɛt/,det,v.,spin, swirl,,,
ZIKIT,/zikit/,zikit,n.,spinach,,,,
MUKA,/mukɑ/,muka,n.,spine,,,,
SÄJE,/sædʒɛ/,sa'je,n.,spirit, soul,,,
MÂNMɔK,/mɑhnmɔk/,maanmook,v.,spit,,,,
MIZKA,/mizkɑ/,mizka,v.,splash,,,,
PÄT,/pæt/,pa't,v.,splash, spray,,,
RÍJE,/rirdʒə/,rirje,v.,spoil,,,,
MOHU,/mohu/,mohu,n.,sponge,,,,
ZUN,/zun/,zun,v.,sponsor,,,,
KOHFO,/kohfo/,kohfo,adj.,spontaneous,,,,
ZUVEGÂT,/zuvəgɑht/,zuvegaat,n.,spoon,,,,
ZEN,/zɛn/,zen,n.,sport,,,,
VIYɔKOH,/vijɔkoh/,viyookoh,n.,spot,,,,
GÄLMÍT,/gælmirt/,ga'lmirt,n.,spouse,,,,
YɔWÁ,/jɔwaɪ̯/,yoowaii̯,v.,spray,,,,
KAPA,/kɑpɑ/,kapa,v.,spread,,,,
FɔTOL,/fɔtol/,footol,n.,spring (coil),,,,
GɔKɔH,/gɔkɔh/,gookooh,n.,spring (season),,,,
FÂKMEN,/fɑhkmɛn/,faakmen,v.,sprout,,,,
MɔH,/mɔh/,mooh,n.,spur,,,,
MÄHIN,/mæhin/,ma'hin,n.,spy,,,,
MAVÚ,/mɑvur/,mavur,n.,square,,,,
DEHɔ,/dɛhɔ/,dehoo,v.,squash,,,,
HUZÂL,/huzɑhl/,huzaal,v.,squat, crouch,,,
Jɔ,/dʒɔ/,joo,v.,squeeze,,,,
FIKRI,/fikri/,fikri,v.,squint,,,,
MɔRIS,/mɔris/,mooris,n.,squirrel,,,,
BÚPO,/burpo/,burpo,v.,stab,,,,
MEK,/mək/,mek,v.,stab, pierce,,,
YÍKYK,/jirkjk/,yirkyk,n.,stable,,,,
KÚKA,/kurkɑ/,kurka,adj.,stable, steady,,,
SÍG,/sirg/,sirg,v.,stack,,,,
SIGHEK,/sighək/,sighek,n.,staff,,,,
JILU,/dʒilu/,jilu,n.,stage,,,,
SÚKPÂ,/surkpɑh/,surkpaa,v.,stain,,,,
ZATUTɔH,/zɑtutɔh/,zatutooh,n.,stake,,,,
SOXU,/soksu/,soxu,n.,stalemate,,,,
BÍPÍZ,/birpirz/,birpirz,v.,stalk,,,,
ZEWO,/zəwo/,zewo,n.,stall, kiosk,,,
GAMÄ,/gɑmæ/,gama',v.,stall,,,,
GAN,/gɑn/,gan,n.,stamina, endurance,,,
TOLUHOK,/toluhok/,toluhok,n.,stamp,,,,
HɔZ,/hɔz/,hooz,v.,stamp,,,,
KRISTÍ,/kristir/,kristir,n.,stand, standing,,,
KRIST,/krist/,krist,v.,stand,,,,
GEDÚ,/gədur/,gedur,n.,stand,,,,
PÄSE,/pæsɛ/,pa'se,n.,staple,,,,
REL,/rəl/,rel,n.,star, celebrity,,,
LOZɔG,/lozɔg/,lozoog,n.,star,,,,
LÚZ,/lurz/,lurz,v.,stare,,,,
ZI,/zi/,zi,n.,start, beginning,,,
KÂJO,/kɑhdʒo/,kaajo,v.,start, begin,,,
FIG,/fig/,fig,v.,starve,,,,
LUG,/lug/,lug,v.,state, declare, affirm,,
DE,/dɛ/,de,v.,state, declare, say,,
MONMUKOK,/monmukok/,monmukok,v.,state, declare,,,
DɔBÄKIL,/dɔbækil/,dooba'kil,n.,state (condition), condition (state),,,
GISYE,/gisjə/,gisye,n.,state (province, country),,,
DIHÂS,/dihɑhs/,dihaas,adj.,static,,,,
DUKHEK,/dukhɛk/,dukhek,n.,station (railroad, bus),,,
SÂJISIG,/sɑhdʒisig/,saajisig,n.,statistic,,,,
NUS,/nus/,nus,n.,statue,,,,
GO,/go/,go,v.,stay, remain, persist,,
MAGÄNÂK,/mɑgænɑhk/,maga'naak,n.,stay,,,,
WÚK,/wurk/,wurk,v.,stay, remain,,,
GAROT,/gɑrot/,garot,v.,steal,,,,
MÚTDɔKYH,/murtdɔkjh/,murtdookyh,n.,steam,,,,
DWINÍ,/dwinir/,dwinir,n.,steel,,,,
KÄDWIN,/kædwin/,ka'dwin,adj.,steel, steely, made of steel,,
WÁ,/waɪ̯/,waii̯,adj.,steep,,,,
WEYE,/wɛjə/,weye,v.,steer,,,,
SULÂS,/sulɑhs/,sulaas,n.,stem,,,,
KÚN,/kurn/,kurn,n.,step (footstep),,,,
GIJɔK,/gidʒɔk/,gijook,n.,step (one level of stairs),,,,
DÍWITYS,/dirwitjs/,dirwitys,n.,stereotype,,,,
MÍN,/mirn/,mirn,n.,stew,,,,
JUKEL,/dʒukəl/,jukel,n.,stick, bat (club),,,
FɔK,/fɔk/,fook,v.,stick,,,,
JɔH,/dʒɔh/,jooh,adj.,sticky,,,,
GEMOKÂT,/gɛmokɑht/,gemokaat,adj.,stiff,,,,
JESVA,/dʒəsvɑ/,jesva,n.,stigma,,,,
KUTNEKYK,/kutnɛkjk/,kutnekyk,adv.,still,,,,
NINÍ,/ninir/,ninir,n.,sting, strike, piercing,,
NIN,/nin/,nin,v.,sting, strike, pierce,,
PɔKÍ,/pɔkir/,pookir,n.,stink, stench,,,
PɔK,/pɔk/,pook,v.,stink, reek,,,
ZÄK,/zæk/,za'k,v.,stir, mix, stoke,,
PEJɔ,/pɛdʒɔ/,pejoo,v.,stir,,,,
NɔLVONYK,/nɔlvonjk/,noolvonyk,n.,stitch,,,,
VILO,/vilo/,vilo,v.,stoke,,,,
DEYɔZ,/dɛjɔz/,deyooz,n.,stomach, gut, belly,,
FUZMO,/fuzmo/,fuzmo,n.,stomach, gut,,,
GOLZ,/golz/,golz,n.,stone,,,,
LATA,/lɑtɑ/,lata,n.,stool (seat),,,,
YES,/jɛs/,yes,v.,stop, stay, remain, arrest, stall
KIGÂ,/kigɑh/,kigaa,v.,stop, arrest,,,
MILKITɔT,/milkitɔt/,milkitoot,n.,store, shop,,,
DÍKMOKÚH,/dirkmokurh/,dirkmokurh,n.,store, shop, salon,,
ZILNI,/zilni/,zilni,n.,store, shop, office,,
SÂSYTDɔ,/sɑhsjtdɔ/,saasytdoo,n.,storm,,,,
WEG,/wɛg/,weg,n.,story, fable, history, plot, narrative
MÄ,/mæ/,ma',n.,story, fable, history, plot, narrative
HENÍZIH,/hənirzih/,henirzih,n.,story, fable, plot, narrative,
PERÍ,/pərir/,perir,adj.,straight, steep, even, parallel,
FÉ,/feɪ̯/,fae,adj.,straight, honest,,,
KÄTEH,/kætɛh/,ka'teh,adj.,straight, honest, innocent,,
MIBU,/mibu/,mibu,n.,strap,,,,
GRÂMINDOL,/grɑhmindol/,graamindol,n.,stratagem, trick,,,
TÄSULYS,/tæsuljs/,ta'sulys,n.,strategy (plan), tactic,,,
GITIK,/gitik/,gitik,n.,strategy (plan),,,,
KÂSISYZ,/kɑhsisjz/,kaasisyz,n.,strawberry,,,,
WɔGONÂK,/wɔgonɑhk/,woogonaak,n.,stream,,,,
LEDÄS,/lədæs/,leda's,n.,street, trail,,,
RUMETÚN,/ruməturn/,rumeturn,n.,strength,,,,
WÄXEL,/wæksəl/,wa'xel,v.,stress, emphasize,,,
SÂK,/sɑhk/,saak,v.,stress,,,,
ROL,/rol/,rol,v.,stretch,,,,
NOSÍ,/nosir/,nosir,n.,strike, attack,,,
NOS,/nos/,nos,v.,strike, attack,,,
TɔLMIN,/tɔlmin/,toolmin,n.,string, thread, strand,,
BATÂL,/bɑtɑhl/,bataal,n.,string, strand,,,
BUMUNYL,/bumunjl/,bumunyl,n.,strip,,,,
PEGMET,/pɛgmɛt/,pegmet,v.,strip,,,,
KES,/kɛs/,kes,v.,strip, reap, plow,,
LUNOZ,/lunoz/,lunoz,n.,stripe,,,,
YUNɔK,/junɔk/,yunook,n.,stripe, strip,,,
VEKJÍ,/vəkdʒir/,vekjir,v.,strive,,,,
TEG,/tɛg/,teg,v.,stroke,,,,
VÚK,/vurk/,vurk,adj.,strong, tough, solid, sturdy, robust
NÄSTAK,/næstɑk/,na'stak,adj.,strong, tough, sturdy, robust,
KÄTI,/kæti/,ka'ti,adj.,strong, tough, robust,,
MÄLÍNɔS,/mælirnɔs/,ma'lirnoos,n.,structure, system,,,
BɔGHE,/bɔghɛ/,booghe,n.,structure,,,,
TÂWIL,/tɑhwil/,taawil,v.,struggle,,,,
LɔPÂG,/lɔpɑhg/,loopaag,adj.,stubborn,,,,
KÄGOLE,/kægolə/,ka'gole,adj.,stubborn, unmoving,,,
GOLEZIL,/goləzil/,golezil,adv.,stubbornly,,,,
GOLEÍ,/goləir/,goleir,n.,stubbornness,,,,
